location,count,date
20653,1,2014-01-02
20714,1,2014-01-02
20877,2,2014-01-02
20879,1,2014-01-02
20886,1,2014-01-02
21060,1,2014-01-02
21084,1,2014-01-02
21117,1,2014-01-02
21205,1,2014-01-02
21209,1,2014-01-02
21213,1,2014-01-02
21214,1,2014-01-02
21215,2,2014-01-02
21216,1,2014-01-02
21217,3,2014-01-02
21229,2,2014-01-02
21231,1,2014-01-02
21911,1,2014-01-02
20850,1,2014-01-03
20896,1,2014-01-03
21061,1,2014-01-03
21076,1,2014-01-03
21090,1,2014-01-03
21113,1,2014-01-03
21122,1,2014-01-03
21133,2,2014-01-03
21136,1,2014-01-03
21205,2,2014-01-03
21207,3,2014-01-03
21215,1,2014-01-03
21216,2,2014-01-03
21217,3,2014-01-03
21229,4,2014-01-03
21669,1,2014-01-03
21770,1,2014-01-03
21911,1,2014-01-03
20609,1,2014-01-04
20619,1,2014-01-04
20634,1,2014-01-04
20708,1,2014-01-04
20740,1,2014-01-04
20850,1,2014-01-04
20872,1,2014-01-04
21001,1,2014-01-04
21037,1,2014-01-04
21044,1,2014-01-04
21050,1,2014-01-04
21061,1,2014-01-04
21201,1,2014-01-04
21202,3,2014-01-04
21208,1,2014-01-04
21215,2,2014-01-04
21216,2,2014-01-04
21217,3,2014-01-04
21218,2,2014-01-04
21223,2,2014-01-04
21225,1,2014-01-04
21227,1,2014-01-04
21229,3,2014-01-04
21230,1,2014-01-04
21231,1,2014-01-04
21286,1,2014-01-04
21643,1,2014-01-04
21651,1,2014-01-04
21727,1,2014-01-04
20650,1,2014-01-05
20653,1,2014-01-05
20715,1,2014-01-05
20794,1,2014-01-05
20854,1,2014-01-05
21015,1,2014-01-05
21037,1,2014-01-05
21117,1,2014-01-05
21201,1,2014-01-05
21202,1,2014-01-05
21206,1,2014-01-05
21207,1,2014-01-05
21215,2,2014-01-05
21217,2,2014-01-05
21227,2,2014-01-05
21229,1,2014-01-05
21230,1,2014-01-05
21539,1,2014-01-05
21638,1,2014-01-05
21740,1,2014-01-05
21783,1,2014-01-05
21921,1,2014-01-05
20850,2,2014-01-06
20855,1,2014-01-06
21028,1,2014-01-06
21060,1,2014-01-06
21201,1,2014-01-06
21216,1,2014-01-06
21217,1,2014-01-06
21218,1,2014-01-06
21223,1,2014-01-06
21230,1,2014-01-06
21231,1,2014-01-06
21237,1,2014-01-06
21244,1,2014-01-06
21632,1,2014-01-06
20653,2,2014-01-07
20659,1,2014-01-07
